"количество комментариев об СПбГУ за период в 10 дней","6636"
"количество комментариев об МГУ за период в 10 дней","8993"
"количество авторов новостей об СПбГУ за период в 10 дней","1858"
"количество авторов новостей об МГУ за период в 10 дней","5993"
